"Sample_ID","Sample_Name","Cell_Type","Run_Accession"
"GSM1833279","Oocyte_#1_A","human MII oocyte","SRR2130085"
"GSM1833280","Oocyte_#1_B","human MII oocyte","SRR2130086"
"GSM1833281","Oocyte_#2","human MII oocyte","SRR2130087"
"GSM1833282","Oocyte_#3","human MII oocyte","SRR2130088"
"GSM1833283","Zygote_#1_A","human zygote","SRR2130089"
"GSM1833284","Zygote_#1_B","human zygote","SRR2130090"
"GSM1833285","Zygote_#2","human zygote","SRR2130091"
"GSM1833286","Zygote_#3","human zygote","SRR2130092"
"GSM1833287","Zygote_#4","human zygote","SRR2130093"
"GSM1833288","2cell_#1_A","human 2 cell","SRR2130094"
"GSM1833289","2cell_#1_B","human 2 cell","SRR2130095"
"GSM1833290","2cell_#2","human 2 cell","SRR2130096"
"GSM1833291","2cell_#3","human 2 cell","SRR2130097"
"GSM1833292","4cell_#1_A","human 4 cell","SRR2130098"
"GSM1833294","4cell_#1_B","human 4 cell","SRR2130099"
"GSM1833295","4cell_#2","human 4 cell","SRR2130100"
"GSM1833296","4cell_#3","human 4 cell","SRR2130101"
"GSM1833297","8cell_#1_A","human 8 cell","SRR2130102"
"GSM1833298","8cell_#1_B","human 8 cell","SRR2130103"
"GSM1833300","8cell_#2","human 8 cell","SRR2130104"
"GSM1833302","8cell_#3","human 8 cell","SRR2130105"
"GSM1833304","8cell_#4","human 8 cell","SRR2130106"
"GSM1833307","Morula_#1_A","human morula","SRR2130107"
"GSM1833309","Morula_#1_B","human morula","SRR2130108"
"GSM1833312","Morula_#2","human morula","SRR2130109"
"GSM1833314","Morula_#3","human morula","SRR2130110"
"GSM1833316","EarlyBlastocyst_#1_A","human early blastocsyt","SRR2130111"
"GSM1833318","EarlyBlastocyst_#1_B","human early blastocsyt","SRR2130112"
"GSM1833321","EarlyBlastocyst_#2","human early blastocsyt","SRR2130113"
"GSM1833323","MiddleBlastocyst_#1_A","human middle blastocyst","SRR2130114"
"GSM1833324","MiddleBlastocyst_#1_B","human middle blastocyst","SRR2130115"
"GSM1833325","MiddleBlastocyst_#2","human middle blastocyst","SRR2130116"
"GSM1833326","LateBlastocyst_#1_A","human late blastoycst","SRR2130117"
"GSM1833327","LateBlastocyst_#1_B","human late blastoycst","SRR2130118"
"GSM1833328","LateBlastocyst_#2","human late blastoycst","SRR2130119"
"GSM1833329","ICM_#1","human ICM","SRR2130120"
"GSM1833330","ICM_#2","human ICM","SRR2130121"
"GSM1833331","ICM_#3","human ICM","SRR2130122"
"GSM1833332","TE_#1","human TE","SRR2130123"
"GSM1833333","TE_#2","human TE","SRR2130124"
"GSM1833334","TE_#3","human TE","SRR2130125"
"GSM1985628","ten_hESCs_#1","human stem cells","SRR3062171"
"GSM1985629","ten_hESCs_#2","human stem cells","SRR3062172"
"GSM1985630","ten_hESCs_#3","human stem cells","SRR3062173"
"GSM1985631","ten_hESCs_#4","human stem cells","SRR3062174"
"GSM2151860","1ug_hESCs_RNA_#1","human stem cells","SRR3501436"
"GSM2151861","1ug_hESCs_RNA_#2","human stem cells","SRR3501437"
"GSM2151862","1ug_hESCs_RNA_#3","human stem cells","SRR3501438"
