"ensemblID","gene_name","PC1","PC2"
"ENSMUSG00000007817","Zmiz1",0.0426688567679355,0.123481250078079
"ENSMUSG00000020634","Ubxn2a",-0.0166705117115515,0.133073970505664
"ENSMUSG00000020917","Acly",0.0232149076418706,0.0792947192106292
"ENSMUSG00000021518","Ptdss1",-0.0381157861420963,0.16074057000034
"ENSMUSG00000022811","Zfp148",0.00563625502883119,0.139253805915413
"ENSMUSG00000023048","Prr13",-0.0352172841095623,0.160402180552577
"ENSMUSG00000024188","Luc7l",0.0154351748650574,0.0137612380660928
"ENSMUSG00000026842","Abl1",0.0154142203564687,0.0421849176961378
"ENSMUSG00000027668","Mfn1",0.028269304675206,0.137910580580226
"ENSMUSG00000027933","Ints3",0.0285630221344617,0.0753017974123751
"ENSMUSG00000031314","Taf1",0.0188788622933773,0.067733991505631
"ENSMUSG00000031691","Tnpo2",0.0245426301783905,0.0167306819876736
"ENSMUSG00000040548","Tex2",-0.0130645604483116,0.144535823070968
"ENSMUSG00000041241","Mul1",-0.0638453073183713,0.125336639592441
"ENSMUSG00000047412","Zbtb44",0.0245995498111242,0.0673793278492066
"ENSMUSG00000054604","Cggbp1",-0.00780914666454466,0.124451654927839
"ENSMUSG00000055884","Fancm",0.00200270524788016,0.155548789195894
"ENSMUSG00000063952","Brpf3",0.0299320173301883,0.119985336515625
"ENSMUSG00000095362","Gm14325",-0.00270785438962305,0.167501156817014
